Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2010-01-04,288.8255615234375,291.611412987591,287.8264834782338,290.0359518808383,1963682
2010-01-05,288.9024353027344,291.8612068006498,286.86588621690095,290.11284928695574,2014488
2010-01-06,282.37005615234375,289.036901056349,281.6591930817352,288.9023976017155,3349176
2010-01-07,274.5119934082031,284.11837582795994,273.2055160178834,282.619770789245,6474892
2010-01-08,268.90191650390625,276.0874969680842,267.6338784109543,275.1268584956831,6048178
2010-01-11,274.4351501464844,276.70224242886246,269.1324315000932,270.5157412502533,4318408
2010-01-12,288.2106628417969,289.7284758608618,279.3535834891864,281.27485985431144,9027690
2010-01-13,303.00457763671875,306.02099646574516,286.1357803913813,286.2702603942242,10910272
2010-01-14,299.66156005859375,306.8087244690769,295.6268784158186,306.8087244690769,10327614
2010-01-15,304.0997009277344,307.25057611356146,296.74120141115066,305.867266200422,7945008
2010-01-18,308.2497253417969,318.5477666664511,304.71457052653284,307.4043586648503,7261084
2010-01-19,299.9881591796875,308.24964928025753,299.2004403955991,308.24964928025753,5154850
2010-01-20,299.4886169433594,304.4070805319255,296.2224466017144,304.4070805319255,4347054
2010-01-21,296.1264343261719,304.3110696813949,295.06973197283565,296.74123358687757,5089504
2010-01-22,291.20794677734375,293.95538228054767,286.1550023171848,292.418360673852,7574990
2010-01-25,290.5738830566406,294.1474529082138,284.7908450741436,291.07341029127616,3008286
2010-01-27,286.3744201660156,292.69292892347005,285.16082007050517,288.95576301870545,4844398
2010-01-28,285.77716064453125,292.01860788542393,280.36406240581886,288.76303593269455,6537196
2010-01-29,283.638916015625,285.02589395089683,274.3730747297268,282.7913079372812,5473326
2010-02-01,287.4725036621094,293.8873083284702,277.3975686716038,282.9262469188759,3378012
2010-02-02,284.4866943359375,293.82960076815334,283.1767516568515,290.88224149785424,4739188
2010-02-03,290.0923156738281,291.614154002403,283.36927381499834,286.64410566738104,2977676
2010-02-04,284.6021728515625,290.45834779403555,282.2134671297968,290.09233245101586,2716612
2010-02-05,278.7459411621094,283.176595375467,276.08753922798445,283.176595375467,4607118
2010-02-08,278.9963684082031,283.0802662111274,272.83198016815135,280.8649391873588,4170344
2010-02-09,283.23443603515625,285.85429680319817,277.8020538168008,279.3238921390972,3005894
2010-02-10,282.1363525390625,286.5284887682784,280.51819584854735,285.06445119696514,2337374
2010-02-11,286.1431884765625,288.165878277035,283.1765720661481,284.3131357999445,2413156
2010-02-15,287.4725036621094,288.95580069958726,284.5444041058503,288.95580069958726,1956482
2010-02-16,292.0957336425781,294.715594302324,285.9506035664807,287.89623416962326,1660490
2010-02-17,292.2884216308594,295.87146870884834,289.93823377283223,294.6963865374759,2528290
2010-02-18,292.34619140625,295.48618697247184,291.0747906702437,292.8085253598746,1814806
2010-02-19,289.1676940917969,292.615904649512,287.33764070524626,290.8436518286499,2215880
2010-02-22,291.74908447265625,294.2341094396273,290.41988288424966,291.6527658577759,2143460
2010-02-23,293.6174621582031,294.7347667585598,289.437246441004,292.4231215290809,1853052
2010-02-24,294.86962890625,296.93086019052487,289.76474524826506,291.2673241838945,4076058
